cgl_locus,cg_locus,gene_name,product
Cgl1622,cg1828,aroK,Shikimate kinase (SK) (EC 2.7.1.71)
Cgl2979,cg3303,,Predicted transcriptional regulators
Cgl1328,cg1500,,N6-adenine-specific methylase
Cgl0877,cg0999,,Molybdopterin biosynthesis enzymes
Cgl1078,cg1227,,"ABC-type transporter, permease components"
Cgl0780,cg0891,,Predicted metal-dependent hydrolase
Cgl0961,cg1097,,Uncharacterized protein
Cgl1072,cg1220,,Predicted Zn-dependent hydrolases of the beta-lactamase fold
Cgl0274,cg0333,,Uncharacterized membrane-associated protein
Cgl0438,cg0519,,"Phosphoglycerate mutase/fructose-2,6-bisphosphatase (EC 5.4.2.-)"
Cgl2397,cg2630,pcaG,"Protocatechuate 3,4-dioxygenase beta subunit (EC 1.13.11.3)"
Cgl1291,cg1459,,SAM-dependent methyltransferases (EC 2.1.1.64)
Cgl0341,cg0411,,Excalibur calcium-binding domain-containing protein
Cgl0923,cg1053,,Transcriptional regulator
Cgl2277,cg2498,,Htaa domain-containing protein
Cgl1558,cg1758,spiE,Uncharacterized protein
Cgl2837,cg3140,tagA1,3-Methyladenine DNA glycosylase (EC 3.2.2.20)
Cgl1005,cg1142,,"Na+/proline, Na+/panthothenate symporters and related permeases"
Cgl1052,cg1197,,ATP-binding protein
Cgl1361,cg1538,,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)
Cgl1181,cg1335,,Uncharacterized protein
Cgl2100,cg2303,hisB,Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19)
Cgl2725,cg3020,,Hypothetical membrane protein
Cgl1661,cg1870,ruvA,Holliday junction branch migration complex subunit RuvA
Cgl0523,cg0610,rplE,Large ribosomal subunit protein uL5 (50S ribosomal protein L5)
Cgl2727,cg3022,,Acetyl-CoA acetyltransferase
Cgl2348,cg2578,,DNA uptake protein and related DNA-binding proteins
Cgl2305,cg2531,idi,Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase)
Cgl0757,cg0866,,Predicted amidophosphoribosyltransferases
Cgl2841,cg3144,bglG,PRD domain-containing protein
Cgl1532,cg1728,,DNA-binding protein
Cgl1796,cg2016,,Uncharacterized protein
Cgl1964,cg2154,pgsA2,CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase (EC 2.7.8.5)
Cgl2997,cg3324,,Uncharacterized protein
Cgl0935,cg1067,pth2,Peptidyl-tRNA hydrolase 2 (PTH 2) (EC 3.1.1.29)
Cgl3093,cg3425,,N-acetyltransferase domain-containing protein
Cgl2170,cg2382,,N-acetyltransferase domain-containing protein
Cgl0096,cg0126,,Uncharacterized protein
Cgl2664,cg2949,,Uncharacterized protein Cgl2664/cg2949 (P29)
Cgl2379,cg2612,,Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1)
Cgl2936,cg3249,,DUF2020 domain-containing protein
Cgl1692,cg1907,,Phosphopantothenoylcysteine synthetase/decarboxylase
Cgl1954,cg2140,recX,Regulatory protein RecX
Cgl2142,cg2350,,Secreted protein
Cgl2412,cg2645,clpP1,ATP-dependent Clp protease proteolytic subunit 2 (EC 3.4.21.92) (Endopeptidase Clp 2)
Cgl0753,cg0861,tmk,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)
Cgl0078,cg0107,,Secreted protein
Cgl2500,cg2751,,dITP/XTP pyrophosphatase (EC 3.6.1.66) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)
Cgl1613,cg1817,pyrR,Bifunctional protein PyrR [Includes: Pyrimidine operon regulatory protein; Uracil phosphoribosyltransferase (UPRTase) (EC 2.4.2.9)]
Cgl1813,cg2033,,Lipoprotein
Cgl2697,cg2985,hpt,Hypoxanthine phosphoribosyltransferase (EC 2.4.2.8)
Cgl0970,cg1107,,Predicted pyrophosphatase
Cgl0055,cg0074,,Rhodanese-related sulfurtransferases
Cgl1128,cg1279,,Secreted protein
Cgl0819,cg0936,,Resuscitation-promoting factor Rpf1 (EC 3.-.-.-)
Cgl3072,cg3400,thiD2,hydroxymethylpyrimidine kinase (EC 2.7.1.49)
Cgl3089,cg3420,sigM,"DNA-directed RNA polymerase specialized sigma subunits, sigma24 homologs"
Cgl3016,cg3344,,Nitroreductase
Cgl0089,cg0118,ureG,Urease accessory protein UreG
Cgl1747,cg1967,,Uncharacterized protein
Cgl1753,cg1974,,LysM domain-containing protein
Cgl1124,cg1275,,Hypothetical membrane protein
Cgl1363,cg1541,,Uncharacterized protein
Cgl0809,cg0923,,Hypothetical membrane protein
Cgl0705,cg0809,,Nucleoside triphosphate pyrophosphatase (EC 3.6.1.9) (Nucleotide pyrophosphatase) (Nucleotide PPase)
Cgl1640,cg1846,cssR,Transcriptional regulator
Cgl0789,cg0899,,Pyridoxal 5'-phosphate synthase subunit PdxT (EC 4.3.3.6) (Pdx2) (Pyridoxal 5'-phosphate synthase glutaminase subunit) (EC 3.5.1.2)
Cgl1375,cg1559,,"Zn-dependent hydrolases, including glyoxylases"
Cgl0345,cg0415,ptpA2,protein-tyrosine-phosphatase (EC 3.1.3.48)
Cgl2706,cg2994,,DUF4178 domain-containing protein
Cgl2455,cg2697,,Single-stranded DNA-binding protein
Cgl0767,cg0876,sigH,RNA polymerase sigma factor
Cgl2635,cg2918,,Predicted dehydrogenases and related proteins
Cgl1791,cg2010,,Hypothetical membrane protein
Cgl1824,cg2044,,Uncharacterized protein
Cgl0116,cg0151,mag,Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)
Cgl0895,cg1019,,"Uncharacterized ACR, predicted metal-dependent hydrolases"
Cgl1256,cg1417,,"Acetyltransferases, including N-acetylases of ribosomal proteins"
Cgl1119,cg1270,,Methyltransferase
Cgl0364,cg0439,,Acetyltransferases (The isoleucine patch superfamily)
Cgl2126,cg2332,,Uncharacterized ACR
Cgl1050,cg1194,,Predicted nucleoside-diphosphate-sugar epimerases
Cgl1669,cg1878,pgsA1,Phosphatidylinositol phosphate synthase (PIP synthase) (EC 2.7.8.-) (CDP-diacylglycerol--D-myo-inositol-3-phosphate 3-phosphatidyltransferase)
Cgl0618,cg0715,,No significant database matches
Cgl0129,,,Hypothetical protein
Cgl1900,cg2080,,DUF3000 domain-containing protein
Cgl1261,cg1423,,Predicted oxidoreductases (Related to aryl-alcohol dehydrogenases)
Cgl1036,cg1176,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.105)
Cgl1443,cg1632,,Uncharacterized ACR
Cgl2490,cg2737,,Transcriptional regulator
Cgl1488,cg1682,,Peptidase S1 domain-containing protein
Cgl2476,cg2722,,Uncharacterized protein
Cgl2926,cg3236,msrA,Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)
Cgl1358,cg1530,,SAM-dependent methyltransferases
Cgl1418,cg1607,,NTP pyrophosphohydrolases including oxidative damage repair enzymes
Cgl0098,cg0128,,PepSY domain-containing protein
Cgl0439,cg0520,,Thiol-disulfide isomerase and thioredoxins
Cgl2516,cg2773,,SCP domain-containing protein
Cgl2033,cg2230,rnhB,Ribonuclease HII (RNase HII) (EC 3.1.26.4)
Cgl1177,cg1330,,Uncharacterized BCR (EC 2.7.6.5)
Cgl1596,cg1799,ribC,riboflavin synthase (EC 2.5.1.9)
Cgl2510,cg2765,,Serine/threonine protein kinase
Cgl2458,cg2701,,Hypothetical membrane protein
Cgl2051,cg2250,,DUF4232 domain-containing protein
Cgl0398,cg0477,,YdhG-like domain-containing protein
Cgl0505,cg0594,rplC,Large ribosomal subunit protein uL3 (50S ribosomal protein L3)
Cgl2092,cg2294,,Hypothetical membrane protein
Cgl0759,cg0867,,Ribosome hibernation promoting factor (HPF)
Cgl1297,cg1467,,Transcriptional regulator
Cgl2840,cg3143,,Predicted dinucleotide-binding enzymes
Cgl2450,cg2691,,Uncharacterized protein
Cgl2009,cg2200,cgtR8,"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl1969,cg2159,,Mycothiol-dependent maleylpyruvate isomerase metal-binding domain-containing protein
Cgl2799,cg3099,grpE,Protein GrpE (HSP-70 cofactor)
Cgl2481,cg2727,,Secreted protein
Cgl3046,cg3375,,Predicted nucleoside-diphosphate-sugar epimerases
Cgl1134,cg1285,,Ferric siderophore reductase C-terminal domain-containing protein
Cgl2639,cg2922,,Transcriptional regulator
Cgl0029,cg0043,,"ABC-type transporter, ATPase component"
Cgl1543,cg1740,,Predicted nucleoside-diphosphate-sugar epimerases
Cgl2360,cg2592,,Uncharacterized protein
Cgl3031,cg3360,trpG,"Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, GATase component) (Anthranilate synthase, glutamine amidotransferase component)"
Cgl0119,cg0154,,Predicted hydrolases of the HAD superfamily
Cgl0241,cg0295,,Suppressor of fused-like domain-containing protein
Cgl2389,cg2622,scoB,Acyl-CoA:acetate CoA transferase beta subunit (EC 2.8.3.6)
Cgl1915,cg2099,,Hypothetical membrane protein
Cgl2941,cg3253,mcbR,Transcriptional regulator
Cgl1202,cg1358,,L-threonylcarbamoyladenylate synthase (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase)
Cgl1980,cg2171,pptA,Phosphopantetheinyl transferase component of siderophore synthetase
Cgl1289,cg1457,dnaQ2,DNA polymerase III epsilon subunit and related 3'-5' exonucleases
Cgl0884,cg1006,,[ribosomal protein uS5]-alanine N-acetyltransferase (EC 2.3.1.267)
Cgl2153,cg2364,,Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)
Cgl2670,cg2954,cynT,Carbonic anhydrase (EC 4.2.1.1)
Cgl2411,cg2644,clpP2,ATP-dependent Clp protease proteolytic subunit 1 (EC 3.4.21.92) (Endopeptidase Clp 1)
Cgl1606,cg1810,gmk,Guanylate kinase (EC 2.7.4.8) (GMP kinase)
Cgl0540,cg0631,rpsE,Small ribosomal subunit protein uS5 (30S ribosomal protein S5)
Cgl2802,cg3102,,"Nucleoside phosphorylase (EC 3.2.2.16, EC 3.2.2.9)"
Cgl2913,cg3221,,Predicted hydrolases of the HAD superfamily
Cgl0815,cg0932,,Hypothetical membrane protein
Cgl0880,cg1002,,SAF domain-containing protein
Cgl0117,cg0152,,YdhG-like domain-containing protein
Cgl0672,cg0774,,Predicted membrane protein
Cgl1670,cg1879,,Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases
Cgl2038,cg2236,thiE,Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)
Cgl1104,cg1254,,Hypothetical membrane protein
Cgl0139,cg0175,,Secreted protein
Cgl2188,cg2402,,Probable endopeptidase Cgl2188 (EC 3.4.-.-)
Cgl0684,cg0786,upp,Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)
Cgl2097,cg2300,hisH,Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)
Cgl0153,cg0192,,Maltokinase N-terminal cap domain-containing protein
Cgl1070,cg1218,nrtR,ADP-ribose pyrophosphatase
Cgl0962,cg1098,,Transcriptional regulator
Cgl0244,cg0298,recR,Recombination protein RecR
Cgl1598,cg1801,rpe,Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
Cgl2307,cg2534,,DUF3558 domain-containing protein
Cgl1662,cg1871,ruvC,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
Cgl2452,cg2693,,Uncharacterized protein
Cgl0941,cg1074,,DNA alkylation repair protein
Cgl0860,cg0983,purN,Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)
Cgl0733,cg0840,,TIGR03089 family protein
Cgl0197,cg0245,,Uncharacterized BCR
Cgl0337,cg0407,,DUF4230 domain-containing protein
Cgl2227,cg2445,hmuO,heme oxygenase (biliverdin-producing) (EC 1.14.14.18)
Cgl2104,cg2307,,Hypothetical membrane protein
Cgl0507,cg0596,rplD,Large ribosomal subunit protein uL4 (50S ribosomal protein L4)
Cgl2473,cg2718,,Oligoribonuclease (EC 3.1.15.-)
Cgl2528,cg2784,,Manganese transport regulator
Cgl1245,cg1402,,ACT domain-containing protein
Cgl0272,cg0330,cgtR1,"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl0321,cg0389,,Dehydrogenases with different specificities (Related to short-chain alcohol dehydrogenases) (EC 1.1.1.100)
Cgl1006,,,Uncharacterized protein
Cgl2274,cg2495,,Uncharacterized ACR
Cgl2352,cg2584,nadD,Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)
Cgl0035,cg0049,,Uncharacterized membrane protein (Homolog of Drosophila rhomboid)
Cgl2667,cg2952,,Secreted protein
Cgl0064,cg0083,,Nicotinamide mononucleotide transporter
Cgl2915,cg3224,lldR,Transcriptional regulators
Cgl2648,cg2933,nanE,Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase)
Cgl1578,cg1780,devB,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)
Cgl2444,cg2685,,3-oxoacyl-[acyl-carrier-protein] reductase MabA
Cgl0926,cg1056,,Hypothetical membrane protein
Cgl0641,cg0741,sirR(mntR),Manganese transport regulator
Cgl1722,cg1940,,Uncharacterized protein
Cgl2982,cg3307,ssb,Single-stranded DNA-binding protein (SSB)
Cgl2554,cg2822,,Xylose isomerase-like TIM barrel domain-containing protein
Cgl0802,cg0914,ftsE,Cell division ATP-binding protein FtsE
Cgl0612,cg0709,cgtR7(esrR),"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl1427,cg1616,cmk,Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)
Cgl1506,cg1700,,Predicted phosphatase/phosphohexomutase
Cgl0823,cg0941,,Aminodeoxychorismate lyase
Cgl2607,cg2888,cgtR3(phoR),"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl2553,cg2812,,"ABC-type transporter, ATPase component"
Cgl1127,cg1278,,Uncharacterized protein
Cgl2344,cg2574,,Threonine efflux protein
Cgl2555,cg2823,,Predicted dehydrogenases and related proteins
Cgl0143,cg0180,maa,Acetyltransferases (The isoleucine patch superfamily) (EC 2.3.1.-)
Cgl0146,cg0183,,Threonine efflux protein
Cgl1157,cg1308,rhcR,Transcriptional regulator
Cgl2049,cg2248,,Hypothetical membrane protein
Cgl1185,cg1340,arnR,ArsR family transcriptional regulator
Cgl1472,cg1663,,DNA alkylation repair protein
Cgl1959,cg2148,,"ABC-type transporter, ATPase component"
Cgl1314,cg1486,ltbR,Transcriptional regulator
Cgl0858,cg0980,,Membrane proteins related to metalloendopeptidases
Cgl2429,cg2666,,DUF4253 domain-containing protein
Cgl2589,cg2863,purQ,Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)
Cgl2605,cg2886,bioD,ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)
Cgl0784,cg0894,,Beta-N-acetylglucosaminidase
Cgl1008,cg1143,,Transcriptional regulators
Cgl2579,cg2850,,Ferric nitrobindin-like protein
Cgl2398,cg2631,pcaH,"Protocatechuate 3,4-dioxygenase beta subunit (EC 1.13.11.3)"
Cgl1215,cg1371,nucS,Endonuclease NucS (EC 3.1.-.-)
Cgl2689,cg2976,,Uncharacterized protein
Cgl1974,cg2165,,AMIN domain-containing protein
Cgl0477,cg0564,rplA,Large ribosomal subunit protein uL1 (50S ribosomal protein L1)
Cgl2316,cg2544,gntR3,Transcriptional regulators
Cgl2156,cg2367,ftsQ,Cell division protein FtsQ
Cgl2860,cg3167,,Uncharacterized protein
Cgl2966,cg3286,,Secreted protein
Cgl1454,cg1645,,SAM-dependent methyltransferases
Cgl1618,cg1824,nusB,Transcription antitermination protein NusB (Antitermination factor NusB)
Cgl2594,cg2869,,Predicted deacetylase
Cgl2466,cg2711,,Hypothetical membrane protein
Cgl2294,cg2519,,DUF222 domain-containing protein
Cgl0520,cg0607,,Secreted protein
Cgl0663,cg0765,,Hypothetical membrane protein
Cgl1083,cg1232,,"Uncharacterized proteins, LmbE homologs"
Cgl2954,cg3271,,SAM-dependent methyltransferases
Cgl1429,cg1618,,Uncharacterized low-complexity proteins
Cgl2898,cg3206,,"Phosphoglycerate mutase/fructose-2,6-bisphosphatase (EC 5.4.2.-)"
Cgl0761,cg0870,,HAD family hydrolase
Cgl0991,cg1130,uppS1,Isoprenyl transferase 1 (EC 2.5.1.-)
Cgl1707,cg1922,,Uncharacterized protein
Cgl1703,cg1918,,Dystroglycan-type cadherin-like domain-containing protein
Cgl2629,cg2912,,"ABC-type transporter, ATPase component"
Cgl2503,cg2756,,Htaa domain-containing protein
Cgl1798,cg2018,,Hypothetical membrane protein
Cgl1462,cg1653,pgp1,HAD family hydrolase
Cgl1262,cg1424,lysE,Lysine exporter LysE
Cgl0310,cg0374,,Lysoplasmalogenase
Cgl0863,cg0986,amtR,Repressor of the high-affinity (Methyl) ammonium uptake system
Cgl3096,cg3428,gidB,Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.-) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)
Cgl0592,cg0685,,"Inactive homologs of metal-dependent proteases, putative molecular chaperones"
Cgl0088,cg0117,ureF,Urease accessory protein UreF
Cgl1920,cg2103,dtxR,Diphtheria toxin repressor (Iron-dependent diphtheria tox regulatory element) (Tox regulatory factor)
Cgl1891,cg2071,int2',Core-binding (CB) domain-containing protein
Cgl2994,cg3321,,"ABC-type transporter, ATPase component"
Cgl2816,cg3116,cysH,Adenosine 5'-phosphosulfate reductase (APS reductase) (EC 1.8.4.10) (5'-adenylylsulfate reductase) (Thioredoxin-dependent 5'-adenylylsulfate reductase)
Cgl1899,cg2079,,Coproheme decarboxylase (EC 1.3.98.5) (Coproheme III oxidative decarboxylase) (Hydrogen peroxide-dependent heme synthase)
Cgl1771,cg1991,,Deoxynucleotide monophosphate kinase
Cgl1557,,,
Cgl0059,cg0078,,Hypothetical membrane protein
Cgl0295,cg0355,,NTP pyrophosphohydrolases including oxidative damage repair enzymes
Cgl1948,cg2134,,Hypothetical membrane protein
Cgl1945,cg2131,,Uncharacterized protein
Cgl0379,cg0454,,Transcriptional regulator
Cgl1952,cg2138,gluC,Glutamate transport system permease protein GluC (Glutamate uptake system protein GluC)
Cgl0506,,,Uncharacterized protein
Cgl2012,cg2204,,"ABC-type transporter, ATPase component"
Cgl2826,cg3128,,"ABC-type transporter, ATPase component"
Cgl1896,cg2076,ribD,"Pyrimidine reductase, riboflavin biosynthesis"
Cgl1059,cg1205,,Phosphatidylinositol kinase
Cgl2350,cg2581,,"Phosphoglycerate mutase/fructose-2,6-bisphosphatase"
Cgl0778,cg0888,,NAD(+) diphosphatase (EC 3.6.1.22)
Cgl1799,cg2019,,Uncharacterized protein
Cgl0133,cg0170,,Predicted membrane protein
Cgl1084,cg1233,,Hypothetical membrane protein
Cgl1222,cg1379,ssuB,Aliphatic sulfonates import ATP-binding protein SsuB (EC 7.6.2.14)
Cgl1187,cg1342,narJ,Nitrate reductase delta subunit (EC 1.7.99.4)
Cgl0233,cg0286,,Probable queuosine precursor transporter (Q precursor transporter)
Cgl2676,cg2960,,Long Rib domain-containing protein
Cgl2512,cg2767,,Uncharacterized membrane protein (Homolog of Drosophila rhomboid)
Cgl2471,cg2716,,Hydroxypyruvate isomerase
Cgl2602,cg2883,,SAM-dependent methyltransferases
Cgl1562,cg1762,sufC,"ABC-type transporter, ATPase component"
Cgl2644,cg2928,nagB,Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)
Cgl2827,cg3129,,"ABC-type transporter, ATPase component"
Cgl2237,cg2456,,"Zn-ribbon protein, possibly nucleic acid-binding"
Cgl2289,cg2514,,Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)
Cgl2006,cg2197,,Hypothetical membrane protein
Cgl1696,cg1911,,Secreted protein
Cgl2096,cg2299,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)
Cgl0402,cg0482,gpmA,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)"
Cgl2535,cg2793,,Uncharacterized BCR
Cgl0245,cg0299,cobQ,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2)
Cgl0813,cg0928,,"ABC-type transporter, ATPase component"
Cgl2965,cg3285,cgtR9(copR),"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl2767,cg3065,,DAGKc domain-containing protein
Cgl2894,cg3202,farR,Transcriptional regulators
Cgl0048,cg0065,,Heme peroxidase
Cgl0213,cg0262,modB,"ABC-type transporter, permease components"
Cgl2024,cg2218,pyrH,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
Cgl1995,cg2186,,UPF0246 protein Cgl1995/cg2186
Cgl2154,cg2365,,Purine nucleoside phosphorylase Cgl2154/cg2365 (EC 2.4.2.1) (Adenosine deaminase Cgl2154/cg2365) (EC 3.5.4.4) (S-methyl-5'-thioadenosine phosphorylase Cgl2154/cg2365) (EC 2.4.2.28)
Cgl0514,cg0601,rpsC,Small ribosomal subunit protein uS3 (30S ribosomal protein S3)
Cgl2443,cg2684,,Uncharacterized membrane-associated protein
Cgl2390,cg2623,scoA,Acyl-CoA:acetate CoA transferase alpha subunit (EC 2.8.3.6)
Cgl0131,cg0167,,Probable membrane transporter protein
Cgl1542,cg1739,,GMP synthase-Glutamine amidotransferase domain (EC 6.3.5.2)
Cgl0325,cg0394,,Glycosyltransferases involved in cell wall biogenesis
Cgl2203,cg2417,,Short-chain dehydrogenases of various substrate specificities
Cgl2776,cg3074,msrR,HTH cro/C1-type domain-containing protein
Cgl2662,cg2947,cgtR5,"Two-component system, response regulators consisting of a CheY-like receiver domain and a HTH DNA-binding domain"
Cgl2283,cg2508,uppS2,Isoprenyl transferase 2 (EC 2.5.1.-)
Cgl2501,cg2753,rph,Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)
