Entry	Gene Names	Gene Names (ordered locus)	Protein names
Q8NP10	dxr Cgl2016 cg2208	Cgl2016 cg2208	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)
Q8NP12	ispG Cgl2014 cg2206	Cgl2014 cg2206	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase)
Q8NP53	ftsK Cgl1968 cg2158	Cgl1968 cg2158	DNA translocase FtsK
Q8NQ22	alaS Cgl1632 cg1838	Cgl1632 cg1838	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)
Q8NQH4	phnC Cgl1460 cg1651	Cgl1460 cg1651	Phosphonates import ATP-binding protein PhnC (EC 7.3.2.2)
Q8NQJ4	secA2 Cgl1440 cg1629	Cgl1440 cg1629	Protein translocase subunit SecA 2 (EC 7.4.2.8)
Q8NQK6	der engA Cgl1428 cg1617	Cgl1428 cg1617	GTPase Der (GTP-binding protein EngA)
Q8NQN6	pheT Cgl1390 cg1575	Cgl1390 cg1575	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)
Q8NRI0	nadA Cgl1069 cg1216	Cgl1069 cg1216	Quinolinate synthase (EC 2.5.1.72)
Q8NRR3	ripA Cgl0982 cg1120	Cgl0982 cg1120	HTH-type transcriptional regulator RipA (AraC-type regulator RipA) (Repressor of iron proteins A) (RIPA)
Q8NRV3	pth1 Cgl0938 cg1071	Cgl0938 cg1071	Peptidyl-tRNA hydrolase 1 (Pth 1) (EC 3.1.1.29)
Q8NRZ6	pmt Cgl0890 cg1014	Cgl0890 cg1014	Polyprenol-phosphate-mannose--protein mannosyltransferase (EC 2.4.1.-) (Protein O-mannosyltransferase) (PMT)
Q8NS38	thyA Cgl0844 cg0966	Cgl0844 cg0966	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
Q8NS80	hisN Cgl0799 cg0910	Cgl0799 cg0910	Histidinol-phosphatase (HolPase) (EC 3.1.3.15) (Histidinol-phosphate phosphatase)
Q8NSS0	groEL1 groL1 Cgl0598 cg0693	Cgl0598 cg0693	Chaperonin GroEL 1 (EC 5.6.1.7) (60 kDa chaperonin 1) (Chaperonin-60 1) (Cpn60 1)
Q8NT75	hemE Cgl0435 cg0516	Cgl0435 cg0516	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)
Q8NTT4	pat Cgl0218 cg0267	Cgl0218 cg0267	Aromatic amino acid aminotransferase (ArAT) (EC 2.6.1.57) (Phenylalanine aminotransferase)
Q8NU97	pknA drp72 Cgl0042 cg0059	Cgl0042 cg0059	Serine/threonine-protein kinases PknA (EC 2.7.11.1)
Q9X5D0	aroC Cgl1623 cg1829	Cgl1623 cg1829	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
Q9X5D1	aroK Cgl1622 cg1828	Cgl1622 cg1828	Shikimate kinase (SK) (EC 2.7.1.71)
